StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Attitude_1_1,Attitude_2_1,Benefit_1_1,Benefit_2_1,Risk_1_1,Risk_2_1,Q9,Q10,Q11,Q12,Q13,Info_Info_1,Info_Info_2,Info_Info_3,Info_Info_4,Info_Info_5,Info_Info_6,Info_Info_7,Info_Info_8,Info_Info_9,Info_Info_10,Info_Info_11,Info_Info_12,Info_Cred_1,Info_Cred_2,Info_Cred_3,Info_Cred_4,Info_Cred_5,Info_Cred_6,Info_Cred_7,Info_Cred_8,Info_Cred_9,Info_Cred_10,Info_Cred_11,Info_Cred_12,Info_Cred_13,H_Num1,H_Num2,H_Num3,H_Num4,H_Num5,Q22,id,eqtid
2022/11/1 11:00,2022/11/1 11:07,0,49.129.123.224,100,418,1,2022/11/1 11:07,R_2QMU3k9gLALxOHb,,,,,43.1027,141.5287,anonymous,JA,0,0,0,4,1,1,4,1,3,3,1,1,5,3,5,3,3,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,2,4,,HXlbIbGFZXkN,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:05,2022/11/1 11:08,0,1.112.42.109,100,233,1,2022/11/1 11:08,R_11hAUTXOmFdPZ0H,,,,,36.2109,136.2349,anonymous,JA,3,0,1,5,3,4,4,2,3,4,2,4,4,2,2,2,2,1,6,5,5,4,4,3,4,5,4,5,3,4,5,5,5,5,5,4,3,1,4,5,5,3,3,3,4,2,3,2,2,,yDNF89ST2OYg,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:04,2022/11/1 11:09,0,115.179.185.162,100,303,1,2022/11/1 11:09,R_p6tcUcw810vmpUd,,,,,34.6947,135.5,anonymous,JA,0,0,0,1,1,1,3,1,3,5,1,1,5,5,1,2,2,2,2,3,2,3,6,6,6,2,6,4,6,6,6,2,2,2,6,3,6,1,6,6,6,6,6,6,4,2,3,2,2,ワクチン接種の真実を伝えてください,e9tevLgiDp3b,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:05,2022/11/1 11:09,0,153.145.142.56,100,281,1,2022/11/1 11:09,R_3EtCfo0qd5j1DFH,,,,,39.7042,140.1282,anonymous,JA,3,0,0,5,5,4,4,5,1,1,4,4,3,2,4,3,3,4,1,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,1,4,4,4,4,4,2,4,2,2,2,4,,ID7fg15uaOax,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:03,2022/11/1 11:10,0,27.141.96.89,100,383,1,2022/11/1 11:10,R_1NEch4FAGs8cRyR,,,,,35.6481,139.9115,anonymous,JA,3,0,0,4,1,3,4,4,3,3,3,2,5,3,3,3,3,3,1,4,4,4,4,4,6,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,1,,AJZnFNwvGR81,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:03,2022/11/1 11:10,0,101.143.66.4,100,439,1,2022/11/1 11:10,R_32JTRf8mRI1Tn6O,,,,,34.6886,135.1959,anonymous,JA,3,0,1,2,2,2,4,2,3,4,1,2,5,5,4,3,3,3,6,2,2,2,5,6,2,2,4,2,6,5,6,2,2,5,1,6,5,1,2,2,1,4,2,4,4,2,3,1,3,なにがいいたいのかな？って思いました。,17fOZlo7RAOi,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:05,2022/11/1 11:11,0,126.77.13.177,100,373,1,2022/11/1 11:11,R_soHjfIr4Z29DqnL,,,,,35.8691,139.6582,anonymous,JA,0,0,0,4,2,7,4,4,2,2,3,2,5,3,2,3,3,2,3,4,2,4,6,4,5,3,3,4,4,3,5,3,3,4,4,3,4,1,1,2,4,4,4,3,4,2,3,1,2,,HZya8mSXrk7B,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:09,2022/11/1 11:12,0,124.154.193.72,100,181,1,2022/11/1 11:12,R_2bHTQST4G9rMEjD,,,,,35.6502,139.7385,anonymous,JA,2,1,1,4,1,4,4,1,3,3,2,3,3,3,1,1,1,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,1,4,,dBK4tNIhyb2U,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:04,2022/11/1 11:12,0,118.0.239.120,100,522,1,2022/11/1 11:12,R_2R2FBODOfALGNhm,,,,,35.9637,139.6498,anonymous,JA,3,0,0,6,6,5,5,6,1,3,3,3,3,2,3,3,3,3,2,4,5,4,4,3,4,3,4,2,4,4,5,4,4,4,3,4,4,1,4,4,3,3,3,2,4,2,2,1,2,もう少し何をど模様に使いたいのかを記載していただきたい。京都大学?はよいが、医学部がバックについているのでしょう?目的をはっきりしていただきたい。,eG3B055MuE7y,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:06,2022/11/1 11:13,0,125.11.216.32,100,429,1,2022/11/1 11:13,R_O6WWWD1kob6hHGN,,,,,34.5017,135.5908,anonymous,JA,0,0,0,6,5,5,5,4,3,3,3,3,3,3,4,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,3,1,2,特になし,w3Turnu1ysuW,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:11,2022/11/1 11:14,0,14.13.144.96,100,227,1,2022/11/1 11:14,R_27NVX1k3cDRpttC,,,,,34.6545,135.0278,anonymous,JA,0,0,0,4,1,1,4,1,5,5,1,1,4,4,3,3,5,3,4,4,4,2,6,6,6,2,1,1,7,6,6,5,4,4,4,6,6,1,5,1,5,6,4,5,4,2,2,1,1,,Ir0v0JoFhWFQ,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:06,2022/11/1 11:15,0,180.220.195.80,100,544,1,2022/11/1 11:15,R_2CxqylmcIB8Jtj0,,,,,34.6922,135.1816,anonymous,JA,3,0,0,4,4,5,4,4,2,2,4,4,4,3,4,2,3,3,1,5,6,4,4,5,4,5,4,5,4,4,4,4,4,4,4,4,4,1,5,4,5,5,4,4,4,2,3,2,2,,td4IUftqyleh,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:06,2022/11/1 11:16,0,49.98.9.207,100,591,1,2022/11/1 11:16,R_2QmnWnGAgKhmAte,,,,,35.1743,136.8931,anonymous,JA,4,0,0,7,7,4,4,6,1,1,5,5,3,2,4,4,4,4,5,5,6,4,4,5,5,5,5,5,4,4,2,6,5,5,5,5,6,1,5,5,5,4,4,2,4,2,3,2,2,ない,TFCOKMcccRDF,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:13,2022/11/1 11:18,0,60.87.149.202,100,297,1,2022/11/1 11:18,R_3QDxNxjEHgQyod7,,,,,35.7027,139.6749,anonymous,JA,0,0,0,3,2,2,3,3,3,3,2,2,5,5,4,3,3,3,2,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,6,4,4,4,2,4,4,4,4,6,4,3,3,2,4,,I2v5hyUT3vPd,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:13,2022/11/1 11:19,0,61.124.130.12,100,375,1,2022/11/1 11:19,R_9ET48sua7GD4p5n,,,,,35.6893,139.6899,anonymous,JA,2,1,1,2,2,4,7,4,3,5,1,2,5,4,3,2,2,1,2,5,5,5,3,4,5,2,1,7,6,4,3,3,2,3,4,4,4,1,1,2,6,5,5,4,4,2,3,2,2,,TPAbAfZ0zTHw,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:10,2022/11/1 11:20,0,115.162.30.120,100,582,1,2022/11/1 11:20,R_81aTdxby1jzVnEJ,,,,,34.6501,133.9311,anonymous,JA,2,0,1,5,5,3,3,3,3,3,4,3,4,4,4,4,4,4,1,5,5,5,4,4,5,4,4,4,5,3,3,5,5,5,5,4,5,1,4,4,5,5,4,3,4,3,3,2,4,特にありません。,ZgNKH0R225va,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:15,2022/11/1 11:20,0,106.158.231.50,100,331,1,2022/11/1 11:20,R_1DIlyu4clrQHDHY,,,,,39.399,141.1831,anonymous,JA,4,1,1,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,1,,grlxk72bmGwD,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:17,2022/11/1 11:21,0,150.19.4.20,100,239,1,2022/11/1 11:21,R_1jVsNnuYVumWPnM,,,,,34.4031,132.4601,anonymous,JA,3,0,1,5,5,4,4,6,2,2,3,4,2,1,3,3,3,3,2,5,5,6,4,4,4,5,2,5,4,2,3,5,5,5,4,5,5,1,5,3,5,2,1,3,4,2,2,1,2,,CwlYQFXc56FG,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:17,2022/11/1 11:21,0,106.129.143.12,100,258,1,2022/11/1 11:21,R_D8o00mBYbyMWDG9,,,,,35.6897,139.6895,anonymous,JA,2,0,1,4,4,4,4,3,3,4,2,2,5,5,2,2,2,2,5,5,4,4,4,3,5,3,6,4,6,5,3,3,5,4,2,5,6,1,6,5,5,7,5,5,3,4,2,3,2,,j0XffQr1hTjS,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:13,2022/11/1 11:21,0,106.155.8.205,100,473,1,2022/11/1 11:21,R_1ln6ekPR92L90iP,,,,,34.6837,135.5236,anonymous,JA,0,0,1,5,2,3,3,2,3,3,2,4,5,3,3,2,2,3,1,5,5,4,4,6,4,2,2,2,4,4,2,4,4,4,2,6,5,1,2,2,1,2,4,2,1,2,2,2,1,グラフは表が表示されなかった,WP7BiJsSOaBf,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:16,2022/11/1 11:22,0,126.78.139.9,100,341,1,2022/11/1 11:22,R_poVFQ7hvRzg4tfH,,,,,35.6893,139.6899,anonymous,JA,3,0,0,4,1,1,7,4,1,3,1,1,5,2,5,4,3,2,2,4,4,4,4,5,4,4,2,4,4,5,4,4,4,4,4,4,4,1,4,3,4,4,4,4,4,2,2,1,2,,o5AdOpefD1jm,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:12,2022/11/1 11:22,0,220.220.223.241,100,580,1,2022/11/1 11:22,R_71Anca4xiIF0L73,,,,,35.6893,139.6899,anonymous,JA,0,0,0,1,1,1,4,1,3,5,1,1,5,5,2,1,1,1,6,1,1,1,7,6,7,1,1,4,7,7,7,1,1,1,7,7,7,1,1,1,4,7,7,7,4,3,3,2,4,,CTJKDiJblSnU,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:18,2022/11/1 11:22,0,123.226.150.136,100,224,1,2022/11/1 11:22,R_3lJrErLvEjwwu4e,,,,,35.0203,135.7602,anonymous,JA,0,0,1,5,3,2,5,4,2,2,3,2,5,3,3,3,3,3,5,5,4,4,4,2,4,4,4,4,4,3,4,4,4,4,4,6,4,4,4,4,4,4,4,5,4,2,2,2,3,,yNDTWxXQ3NuD,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:17,2022/11/1 11:24,0,153.215.32.186,100,427,1,2022/11/1 11:24,R_21cEYEaElCcspZc,,,,,35.6893,139.6899,anonymous,JA,3,0,1,5,5,6,4,4,2,4,3,4,3,3,2,2,2,2,5,5,5,5,5,3,6,2,1,6,5,3,3,4,5,4,4,5,5,1,6,1,7,7,1,7,4,2,3,2,4,,fHvWivrsEsER,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:21,2022/11/1 11:24,0,14.13.197.64,100,194,1,2022/11/1 11:24,R_2DXZM44kVXUgxKv,,,,,35.0334,135.9519,anonymous,JA,0,0,0,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,2,3,1,4,,TAoVzdzQ6grQ,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:16,2022/11/1 11:25,0,106.73.2.96,100,556,1,2022/11/1 11:25,R_2vf9KK1csgLBcmW,,,,,35.4343,139.6466,anonymous,JA,3,0,1,6,6,4,4,2,3,3,3,4,3,3,3,2,2,4,5,4,4,2,4,4,3,4,4,3,4,4,3,3,2,3,2,2,4,1,2,2,2,3,2,3,4,2,2,2,2,,z2vYjObykPhP,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:19,2022/11/1 11:25,0,119.241.14.64,100,408,1,2022/11/1 11:25,R_2YmITgAl4KPrrfl,,,,,36.6352,138.1794,anonymous,JA,3,0,0,4,2,4,4,5,2,2,3,4,2,2,3,3,3,3,5,6,6,6,5,5,4,4,4,3,3,4,3,4,5,4,4,4,4,1,3,4,5,3,4,3,4,2,3,2,2,,1FN7SXlJV7og,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:16,2022/11/1 11:25,0,60.105.194.123,100,571,1,2022/11/1 11:25,R_1r0svkBIN7LQFYC,,,,,35.6893,139.6899,anonymous,JA,0,0,1,2,1,1,3,1,3,3,1,1,5,5,2,2,2,2,2,1,2,2,1,1,2,1,1,4,6,6,6,1,1,4,1,1,2,1,1,1,5,6,6,6,4,4,3,2,1,,pjxlAr5Q0KMW,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:12,2022/11/1 11:25,0,220.220.147.212,100,823,1,2022/11/1 11:26,R_1OuBJutZgIOnTN1,,,,,37.4051,140.3896,anonymous,JA,3,0,0,5,6,6,4,6,1,1,4,4,5,3,4,5,4,4,5,6,7,4,5,3,5,4,5,4,3,4,4,5,5,4,4,5,2,1,5,4,5,6,4,5,4,2,2,2,1,,N07lGzdupw8C,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:22,2022/11/1 11:28,0,112.71.137.20,100,361,1,2022/11/1 11:28,R_28ZdkuV3x9Bw5Ik,,,,,34.6946,135.5021,anonymous,JA,3,0,0,5,3,4,3,4,2,2,3,4,5,3,5,3,3,3,2,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,3,2,2,,rt2uxU7OQkfr,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:24,2022/11/1 11:31,0,180.12.146.129,100,427,1,2022/11/1 11:31,R_3mZQ2j7iKFb7co9,,,,,34.8094,135.3661,anonymous,JA,0,0,0,1,1,1,1,1,1,2,1,1,5,5,4,2,1,2,1,5,4,4,7,7,7,1,5,1,5,7,7,5,5,5,6,7,6,1,1,5,2,5,5,7,4,4,3,2,2,,aTIe06uWhcVv,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:27,2022/11/1 11:33,0,124.214.36.192,100,376,1,2022/11/1 11:33,R_3n6PQSFyTI3Rs9M,,,,,35.6654,139.6977,anonymous,JA,0,0,0,1,1,1,2,1,2,4,1,1,5,5,2,2,2,2,6,4,4,4,4,4,4,1,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,2,4,,ftxVO6oDVkEf,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:30,2022/11/1 11:34,0,153.235.145.194,100,250,1,2022/11/1 11:34,R_24vEwLELAGBsltW,,,,,34.6837,135.5236,anonymous,JA,2,0,0,1,1,1,1,1,3,5,1,1,5,5,2,1,2,1,5,4,4,4,4,4,4,4,4,4,5,5,5,3,4,4,4,2,4,1,4,4,4,5,5,5,4,2,2,2,2,,lToBvbmw8gyW,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:31,2022/11/1 11:35,0,106.139.163.149,100,247,1,2022/11/1 11:35,R_bxXbUhMfWdRmp4B,,,,,35.4805,139.6417,anonymous,JA,2,0,0,5,3,4,2,2,4,4,3,4,2,2,4,2,2,2,2,4,6,5,4,5,3,4,1,4,3,1,1,5,5,5,4,3,4,1,3,2,6,1,1,1,4,2,3,2,2,,cD77e3Zi0iik,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:30,2022/11/1 11:36,0,219.107.31.73,100,340,1,2022/11/1 11:36,R_XTCJPuxW0qIRGRH,,,,,37.4051,140.3896,anonymous,JA,3,0,0,4,4,4,5,4,3,3,3,3,4,3,3,3,3,3,5,5,5,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,2,,3RpgjJLqN2Yn,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:31,2022/11/1 11:39,0,119.10.217.22,100,455,1,2022/11/1 11:39,R_2cBeNfODgr1kjGH,,,,,35.6143,140.1062,anonymous,JA,4,0,0,5,7,3,3,6,1,3,4,5,4,1,3,2,2,3,5,7,7,5,6,5,4,4,3,2,2,5,1,6,6,5,4,6,6,1,5,4,4,4,5,2,4,2,3,2,4,,s8Z8bd2OWUyW,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:35,2022/11/1 11:39,0,133.33.58.125,100,239,1,2022/11/1 11:39,R_3NEUzzTmiBMaX35,,,,,35.0982,138.8614,anonymous,JA,3,0,0,5,5,5,4,5,2,2,3,4,4,2,3,3,3,3,5,5,5,4,4,3,5,3,5,4,3,4,3,5,5,5,4,5,5,1,3,4,4,3,4,3,4,2,3,2,2,,IKjPckUZrEtl,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:36,2022/11/1 11:43,0,203.112.38.154,100,379,1,2022/11/1 11:43,R_2D03F33Gvp7tZdz,,,,,33.5564,133.5437,anonymous,JA,0,0,1,5,4,3,4,4,3,3,3,3,4,2,4,3,3,3,2,6,6,5,3,3,2,4,5,4,4,2,4,4,4,4,4,5,4,1,4,3,4,4,4,4,4,3,3,2,3,,6cWKlSNHdYxQ,fe7495ade47184a0c00172174b0db134d5040a8a
2022/11/1 11:35,2022/11/1 11:43,0,126.169.1.233,100,480,1,2022/11/1 11:43,R_1mJBeUn7n0AG5uv,,,,,34.6837,135.5236,anonymous,JA,3,0,0,6,5,2,3,4,2,3,4,3,3,2,2,2,2,2,5,5,4,5,4,4,3,4,4,3,3,4,4,4,5,5,4,4,4,1,4,4,4,4,3,4,4,2,3,1,2,特にない。,ju11XBOI8pFC,fe7495ade47184a0c00172174b0db134d5040a8a
