StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q34,Q57_1,Q47,Q33_1,Q33_2,Q33_3,Q33_4,Q33_5,Q33_6,Q33_7,Q33_8,Q33_9,Q33_10,Q33_11,Q35,Q16_1,Q39_1,Q40_1,Q41_1,Q42_1,Q53,Q56,Q55,Q54,Q21,Q18,Q22,Q43_1,Q19,Q20,Q36,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_9,Q28_10,Q51_1,Q59_1,Q52_1,Q60_1,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q58_1,Q58_2,Q58_3,Q58_4,Q58_5,Q58_6,Q58_7,Q58_8,Q58_9,Q61_1,Q50,Q46_1,Q29,Q27,id,eqtid
2021/8/26 13:43,2021/8/26 13:45,0,133.3.201.14,100,113,1,2021/8/26 13:45,R_3knRY5FhiSuknU5,,,,,34.98710632,135.8417053,anonymous,JA,2,18,2,2,2,2,2,2,2,2,2,2,2,2,,8,5,4,7,6,1,1,2,1,4,1,1,8,,1,,2,1,2,2,2,2,2,2,2,2,9,8,7,8,2,2,2,2,1,2,2,2,2,2,3,4,4,4,3,3,3,3,3,8,4,6,89,楠見②,MMbpJSElcf7S,a50b6090c02f05f170a04ce5e3fa5d8ef6cf802d
2021/8/26 14:03,2021/8/26 14:05,0,133.3.201.14,100,114,1,2021/8/26 14:05,R_2S1sMROYknlCZ0I,,,,,34.98710632,135.8417053,anonymous,JA,2,17,5,,,,,,,,,,,,,10,6,6,8,7,2,3,1,2,3,1,1,5,,2,,2,2,2,2,2,2,2,2,2,2,9,7,7,7,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,6,4,5,44,楠見3,2TZvn0maQXnv,a50b6090c02f05f170a04ce5e3fa5d8ef6cf802d
2021/8/26 14:28,2021/8/26 14:30,0,133.3.201.14,100,146,1,2021/8/26 14:30,R_12tNk1tjNEZdyCx,,,,,34.98710632,135.8417053,anonymous,JA,1,19,4,2,2,2,2,2,2,2,2,2,2,2,4,9,7,7,8,8,2,3,1,1,3,1,2,8,2,,,3,3,2,3,3,3,3,3,3,3,9,7,8,8,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,7,4,6,33,楠見5,MpbpZLo9MSNy,a50b6090c02f05f170a04ce5e3fa5d8ef6cf802d
2021/8/26 16:12,2021/8/26 16:17,0,223.223.75.76,100,267,1,2021/8/26 16:17,R_3stZtjVPpyeNjKV,,,,,34.65010071,133.9310913,anonymous,JA,2,17,7,,,,,,,,,,,,,12,7,7,1,6,1,1,1,1,1,5,1,1,1,,,4,1,6,3,4,6,6,1,6,1,7,9,6,9,5,6,5,5,5,2,2,4,7,6,7,7,7,7,1,1,4,7,7,8,6,7,45,,iHQd2X4WxXKT,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:13,2021/8/26 16:17,0,61.204.229.126,100,281,1,2021/8/26 16:17,R_3qCAKxs0I7bVee7,,,,,35.90280151,139.649292,anonymous,JA,2,14,2,3,3,3,3,3,3,3,3,3,3,3,6,8,3,3,6,7,4,4,4,4,5,5,5,2,,,2,3,2,2,2,3,2,2,2,2,2,5,5,5,5,2,3,3,3,1,4,4,3,4,4,4,5,5,4,4,5,4,5,4,5,3,4,40,,8IAdujTsj7C2,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:17,2021/8/26 16:20,0,125.4.202.205,100,141,1,2021/8/26 16:20,R_2y4bVObYwHHZy7G,,,,,34.50169373,135.5907898,anonymous,JA,2,1,1,3,2,3,3,3,2,2,2,3,3,3,7,9,4,4,6,6,4,4,4,4,5,5,5,5,2,,,4,4,4,4,4,4,4,4,4,4,6,6,6,6,3,3,4,4,3,3,5,5,4,4,4,4,4,5,4,4,1,3,3,5,6,4,0,,mjtV7g5v1iW9,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:17,2021/8/26 16:21,0,119.230.229.253,100,206,1,2021/8/26 16:21,R_2Ufm2liCSGhh7eg,,,,,34.76150513,135.508606,anonymous,JA,2,17,6,,,,,,,,,,,,,8,4,5,4,4,2,2,1,4,4,2,3,4,,1,,3,2,2,4,2,2,3,2,4,3,4,6,5,7,1,3,3,4,1,4,4,6,6,6,1,3,3,2,5,4,4,5,4,5,3,4,75,,LTwWI6mJVCFB,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:14,2021/8/26 16:21,0,182.169.192.97,100,392,1,2021/8/26 16:21,R_2ErYK2LPG6dYjHU,,,,,34.91659546,137.1484985,anonymous,JA,2,14,1,2,2,3,2,5,5,3,2,4,3,2,6,9,4,4,5,1,4,2,4,2,4,5,3,1,1,,,1,4,2,6,3,5,4,4,3,5,8,6,1,6,2,4,3,4,1,4,4,5,6,6,4,4,4,4,2,4,5,5,4,2,6,4,30,,j0XffQr1hTjS,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:14,2021/8/26 16:21,0,126.77.87.7,100,419,1,2021/8/26 16:21,R_0lzTFjI7I7JHWmt,,,,,35.43460083,139.6482849,anonymous,JA,1,16,7,,,,,,,,,,,,,10,6,6,1,7,2,2,3,4,4,2,3,1,,2,,1,3,3,5,1,6,5,5,5,6,8,5,8,8,3,5,5,5,1,3,3,3,5,5,6,6,6,6,6,6,6,6,6,4,4,6,70,難しかった。,EsC3bfIpfxeS,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:21,2021/8/26 16:22,0,122.223.135.231,100,77,1,2021/8/26 16:22,R_117a5671ZMbnEsM,,,,,38.3309021,140.877594,anonymous,JA,2,17,3,3,3,4,3,3,2,2,2,3,3,3,5,9,4,5,5,6,4,4,4,4,5,5,5,5,,2,,4,4,4,4,3,3,4,3,4,5,6,5,7,6,4,2,4,4,4,5,3,4,6,7,3,5,3,3,4,4,4,4,4,5,2,4,なし,なし,bd9pQJIwZQ88,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:16,2021/8/26 16:22,0,210.132.52.134,100,390,1,2021/8/26 16:22,R_3JgcrKKhccvHGsm,,,,,39.71589661,140.1174011,anonymous,JA,2,17,7,,,,,,,,,,,,,9,4,5,1,6,3,3,1,1,4,2,3,4,,,1,1,5,1,5,4,4,1,5,4,4,6,8,6,8,1,4,3,4,1,3,2,1,1,4,1,4,1,4,2,1,1,1,4,5,6,5,40,,ID7fg15uaOax,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:19,2021/8/26 16:24,0,106.128.119.13,100,310,1,2021/8/26 16:24,R_1guuhcFjy1XdAPS,,,,,35.68969727,139.6895142,anonymous,JA,2,17,4,3,4,4,3,5,5,5,4,4,4,4,7,9,4,5,5,5,4,4,4,4,4,2,2,1,1,,,1,1,2,6,1,6,5,6,4,5,8,8,6,6,3,4,5,5,1,5,4,3,4,6,2,2,6,1,6,4,2,2,5,2,6,4,20,なし,6cWKlSNHdYxQ,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:24,2021/8/26 16:27,0,220.5.54.221,100,178,1,2021/8/26 16:27,R_UJx1SLHblXg3eVz,,,,,36.39050293,140.4516907,anonymous,JA,2,1,5,,,,,,,,,,,,,8,4,3,6,5,4,4,4,4,4,5,5,1,,,2,3,4,5,4,3,4,4,4,4,4,6,6,6,6,3,5,4,5,1,3,5,4,5,5,4,5,4,4,5,4,4,5,5,4,3,3,50,ない,1UbuqzXB04UA,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:22,2021/8/26 16:28,0,118.5.164.169,100,355,1,2021/8/26 16:28,R_3EKBRzT0EKJbgIb,,,,,33.82429504,132.7623901,anonymous,JA,2,17,6,,,,,,,,,,,,,9,5,6,1,6,3,4,3,2,4,3,2,2,,,1,4,4,3,5,5,3,4,4,3,5,7,9,8,9,6,6,5,6,1,4,4,5,5,7,6,6,7,1,1,2,2,5,4,6,4,6,70,,9nfBreAmmILZ,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:16,2021/8/26 16:29,0,203.180.17.85,100,776,1,2021/8/26 16:29,R_12lh7nivcusvjhQ,,,,,35.70179749,139.7565918,anonymous,JA,2,17,6,,,,,,,,,,,,,10,3,6,5,6,3,1,2,1,4,2,4,4,2,,,1,5,1,5,2,3,4,6,4,5,8,6,6,6,1,3,6,5,1,4,3,3,5,5,2,4,7,2,1,1,5,5,4,6,3,5,50,結果を生かし、少しでも研究に役立てれば幸いです。,fHvWivrsEsER,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:20,2021/8/26 16:30,0,221.191.121.113,100,590,1,2021/8/26 16:30,R_26mwxHRmiGcivRa,,,,,35.81889343,139.6588135,anonymous,JA,2,17,5,,,,,,,,,,,,,9,5,2,4,6,3,2,1,2,4,4,3,5,,1,,4,4,3,3,5,4,4,4,4,3,6,7,5,5,3,3,1,1,1,3,3,3,3,3,4,3,1,1,3,3,3,3,3,5,4,4,10,罰則のない条例ほど無駄なものはない,eG3B055MuE7y,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:25,2021/8/26 16:32,0,217.178.102.68,100,383,1,2021/8/26 16:32,R_5ANfQLDZAfuJA7n,,,,,26.44590759,127.9122925,anonymous,JA,2,1,1,1,1,1,1,1,1,1,1,1,1,1,7,10,3,1,9,1,4,4,4,4,4,5,3,1,,2,,3,6,3,5,5,1,1,5,2,5,6,6,1,1,1,1,1,1,1,1,4,4,1,1,1,1,5,5,1,5,1,1,1,4,5,1,80,なし,DWOclhSyBpM0,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:21,2021/8/26 16:33,0,121.93.63.158,100,727,1,2021/8/26 16:33,R_2QFdLeh0hZUPLLl,,,,,35.18649292,136.8994141,anonymous,JA,2,17,6,,,,,,,,,,,,,9,4,5,5,6,2,4,4,4,4,4,3,2,1,,,4,3,4,5,4,4,5,3,4,4,5,6,5,6,1,2,2,3,1,4,5,6,7,6,3,3,3,3,5,5,6,7,7,5,5,4,60,特になし,2uAysoGBPttN,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:31,2021/8/26 16:36,0,106.128.58.20,100,326,1,2021/8/26 16:36,R_BAlNGmS8LY93Ush,,,,,35.68969727,139.6895142,anonymous,JA,4,14,2,3,3,1,1,4,2,2,3,3,3,2,4,9,4,4,6,6,4,4,4,4,5,5,5,2,,,1,1,4,2,4,4,4,3,5,3,5,6,6,6,7,3,3,2,2,1,3,4,4,4,4,4,3,3,3,5,5,4,4,4,4,2,3,50,,J0yV3wkTCvBx,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:21,2021/8/26 16:37,0,60.98.237.130,100,947,1,2021/8/26 16:37,R_1QmWGTNtbfb00uB,,,,,34.67799377,135.5484924,anonymous,JA,2,17,5,,,,,,,,,,,,,2,5,6,4,7,3,2,1,3,4,2,3,4,1,,,1,3,4,5,3,4,3,4,3,5,7,7,6,7,4,4,3,4,1,3,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,40,久しぶりに頭を使ったけどあの問題の意味はなんだったんだろう,Ia8HUk6DTDQM,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:29,2021/8/26 16:37,0,114.163.85.7,100,492,1,2021/8/26 16:37,R_2To4JtDYpikSAXw,,,,,35.48620605,139.4569092,anonymous,JA,2,17,6,,,,,,,,,,,,,8,4,4,5,6,3,4,4,4,4,5,5,1,2,,,4,4,4,5,4,4,4,4,4,4,6,6,5,6,4,4,4,4,1,3,3,3,4,4,4,4,4,4,1,1,1,4,4,2,3,5,50,,diIyoeUYBKoU,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:32,2021/8/26 16:37,0,153.220.134.184,100,337,1,2021/8/26 16:37,R_5bh79uP1tPtfzxL,,,,,44.10679626,142.3645935,anonymous,JA,2,18,6,,,,,,,,,,,,,2,4,5,6,7,2,1,2,1,4,3,4,5,,,1,3,2,5,2,4,5,5,3,6,4,7,7,7,7,5,5,5,4,1,4,4,4,4,5,5,5,6,6,6,4,4,5,4,6,2,4,50,,aa8LT1EMBS5f,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:37,2021/8/26 16:39,0,126.205.222.79,100,122,1,2021/8/26 16:39,R_12sTI1fE3H9Priv,,,,,35.68969727,139.6895142,anonymous,JA,2,17,1,2,3,2,3,3,2,2,2,2,2,2,7,1,1,1,1,1,1,1,2,2,3,2,2,8,,,2,2,3,3,3,2,3,2,2,3,3,1,1,1,1,3,2,3,3,2,3,3,3,3,4,1,1,1,1,6,6,4,2,4,8,6,1,1,なし,8z51nVlNr41c,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:30,2021/8/26 16:39,0,125.52.73.94,100,560,1,2021/8/26 16:39,R_DUfu3UqZMY5okeJ,,,,,43.02589417,144.8501892,anonymous,JA,2,1,2,1,2,1,1,2,3,3,1,1,1,2,6,9,3,2,6,1,4,1,4,1,4,4,4,1,,,1,4,1,4,5,5,5,6,3,5,3,5,5,4,5,3,3,3,3,1,4,3,3,3,3,4,4,4,3,4,3,3,3,4,5,6,2,60,この結果がどのように使われるのか興味がある,5qOQ6xzoJiVO,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:35,2021/8/26 16:42,0,92.202.62.151,100,449,1,2021/8/26 16:42,R_tErLFvlnhGNw6Ah,,,,,34.86909485,135.7106934,anonymous,JA,2,17,6,,,,,,,,,,,,,2,3,6,7,7,1,2,2,1,5,1,2,1,,1,,4,4,4,4,4,3,4,3,4,4,4,5,5,5,4,5,4,3,3,5,5,4,5,5,4,5,4,5,3,5,5,4,4,5,3,5,80,特にい,mLft3ifnlRa5,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:38,2021/8/26 16:44,0,118.156.223.237,100,342,1,2021/8/26 16:44,R_xA86KpeiJ9T11kd,,,,,35.4066925,139.6034851,anonymous,JA,2,18,5,,,,,,,,,,,,,11,4,5,4,7,3,1,1,1,4,2,3,5,,1,,4,5,1,6,5,5,4,5,5,5,8,8,8,7,5,6,2,2,1,3,5,3,6,5,5,5,3,3,5,6,6,6,6,4,3,5,70,とくになし,KDTTJssBuznD,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:22,2021/8/26 16:44,0,133.106.32.41,100,1311,1,2021/8/26 16:44,R_1FQfDPDIxdmeUU5,,,,,35.66690063,139.6940918,anonymous,JA,2,17,5,,,,,,,,,,,,,8,5,5,4,5,4,4,4,4,4,1,4,2,,2,,5,6,5,6,1,1,5,4,1,6,7,7,6,6,4,4,5,5,1,4,4,5,6,5,4,4,4,4,4,4,5,5,5,5,6,6,5,特になし,9YftZQKjcC83,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:31,2021/8/26 16:44,0,153.181.46.99,100,796,1,2021/8/26 16:44,R_Wx39gex5hbwERTH,,,,,33.60169983,130.424408,anonymous,JA,1,16,6,,,,,,,,,,,,,9,5,5,5,6,3,2,2,3,4,2,3,4,,,1,2,3,3,5,4,5,5,5,3,4,6,6,6,7,4,3,4,3,1,4,4,4,4,5,4,5,4,4,4,4,4,4,5,5,3,5,50,,fuLDWdVk2q48,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:40,2021/8/26 16:45,0,123.227.139.231,100,251,1,2021/8/26 16:45,R_cMBPXB2DlgyKVS9,,,,,34.69869995,135.2008057,anonymous,JA,2,17,4,3,3,3,3,3,3,3,3,3,3,3,7,2,3,4,6,6,4,4,4,4,5,5,5,5,,,2,1,3,4,6,4,6,4,6,4,5,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,2,60,,C67CqDHSTsQz,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:44,2021/8/26 16:47,0,106.129.20.101,100,185,1,2021/8/26 16:47,R_VU0p8083jdenO7L,,,,,35.68870544,139.7449951,anonymous,JA,2,14,2,2,2,2,3,4,1,2,2,3,2,2,6,9,4,4,6,5,3,4,4,4,3,5,5,4,1,,,3,3,4,4,2,3,2,4,3,1,6,6,6,6,5,4,2,2,1,3,4,4,5,6,4,4,5,4,3,4,3,4,2,5,6,4,50,,B54nglSP3rdI,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:41,2021/8/26 16:50,0,119.240.38.44,100,529,1,2021/8/26 16:50,R_2trojUXnmYNBDjl,,,,,36.56900024,139.885498,anonymous,JA,2,17,4,3,3,5,3,3,3,4,3,5,4,3,3,9,4,4,6,6,3,3,1,2,4,3,4,1,,,1,1,1,1,4,1,4,4,4,4,1,6,6,6,6,4,4,1,1,1,1,1,2,3,4,1,1,1,1,1,1,1,3,1,5,6,4,50,,1lz14PYCPQL8,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:17,2021/8/26 16:50,0,45.77.10.34,100,1942,1,2021/8/26 16:50,R_ONk0oYrkTPnPCeZ,,,,,35.58189392,139.7662964,anonymous,JA,2,17,4,3,3,3,3,4,4,4,3,3,4,4,4,9,5,5,5,6,3,1,1,1,4,3,3,4,,,2,3,2,4,5,5,5,5,5,4,3,8,8,6,7,3,3,3,4,1,4,5,4,4,5,4,4,4,4,4,4,4,4,5,5,3,5,70,文章の内容がやや難しい,2KFHmR6EVjTB,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:35,2021/8/26 16:51,0,183.77.16.32,100,901,1,2021/8/26 16:51,R_1LiYVnbPNXF6vU0,,,,,32.82440186,130.6932983,anonymous,JA,2,14,2,2,2,2,2,5,4,4,2,2,2,3,6,8,3,2,5,1,2,1,1,2,4,2,4,1,,2,,1,5,5,4,1,5,5,5,4,5,5,6,5,8,2,4,4,4,1,4,4,3,3,4,3,3,5,1,5,5,3,3,4,4,2,2,30,特になし,JKRiwEPtdYCT,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:45,2021/8/26 16:52,0,60.45.161.40,100,427,1,2021/8/26 16:52,R_1gGzNkGjZm7nICM,,,,,36.40339661,139.0844116,anonymous,JA,2,1,1,4,4,4,4,4,4,4,4,4,4,4,6,2,4,5,7,4,3,3,1,3,4,2,3,5,2,,,3,4,4,4,4,5,4,4,4,4,5,7,5,7,2,5,4,4,1,2,3,4,4,5,2,2,5,2,2,5,2,2,2,5,3,5,70,ワクチンの副反応（90％以上の発熱症例）は異常,DOrvp2gQ6ife,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:53,2021/8/26 16:56,0,160.13.183.196,100,187,1,2021/8/26 16:56,R_3Kq49o1AOKM1Tbi,,,,,36.87089539,140.0148926,anonymous,JA,2,18,6,,,,,,,,,,,,,10,3,6,4,5,4,4,4,4,5,5,5,8,2,,,4,3,4,3,2,3,1,3,3,4,7,7,6,6,2,3,3,3,3,3,4,4,3,3,2,2,2,2,2,2,2,2,2,4,2,4,20,なし,AdtmstkINPdl,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:48,2021/8/26 16:58,0,60.114.1.130,100,563,1,2021/8/26 16:58,R_2t4Keq6ZPDSyD63,,,,,35.65020752,139.7384949,anonymous,JA,2,17,4,5,4,4,4,5,5,5,4,4,4,4,5,9,3,5,4,6,3,2,2,2,4,2,4,5,,,1,6,1,6,1,5,1,6,1,6,1,8,8,5,9,4,5,6,6,1,6,6,6,7,6,7,7,7,7,6,7,7,7,7,8,3,6,38,,C4Pm1PttgcXq,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 16:46,2021/8/26 16:59,0,121.107.134.3,100,762,1,2021/8/26 16:59,R_29ukfbAshOKE3Oc,,,,,43.02589417,144.8501892,anonymous,JA,2,17,4,4,5,4,5,5,2,4,2,4,3,4,6,10,6,5,4,4,3,2,2,4,4,4,3,2,,2,,1,5,1,5,5,6,3,6,4,2,4,8,7,6,4,5,4,5,1,3,3,4,5,6,4,4,3,3,5,3,5,5,6,4,4,5,30,特になし,aC8PanFsubX5,07ec68e4080afd6b83525ee500ebda56b8a83e93
